GUN,MagazineRelease,TriggerLength,TriggerPull,MSRP,PalmWidth,LeftHanded,Laser,safety,caliber,GunWeightUnloaded,Semi,Recoil,HomeDefense ,SlideWeight,AccessoryRail
Question,"What is the length of your thumb,",What is your trigger finger Length,How would you rank your trigger finger strength,What will your budget allow for y,What is your palm length from the base,Are you Right handed or Left handed?,Do you require a gun with a laser?,Do you require a gun with an external thumb safety?,"At this time, do you require a specific caliber",How would you rate your upper body strength,"Do you have a reason you are not willing , or are not physically able to carry a gun on your body",How would you rate your hand strength,What will this gun be used for?,Slide Weight,Do you require a gun with an accessory rail
Beretta Nano,3,3,2,2,3,no,no,no,9,2,yes,2,yes,3,Yes
Beretta Pico,1,1,3,1,1,yes,no,no,380,4,yes,1,no,4,No
Bersa Thunder 380 ,2,2,2,1,2,no,no,yes,380,3,yes,3,no,2,No
Charter Arms Pink Lady ,2,2,4,2,2,no,no,no,0.38,4,no,1,no,null,null
Charter Arms Undercover Lite,2,2,4,2,2,yes,no,no,0.38,4,no,1,no,null,null
Colt Defender,4,4,2,3,4,no,no,yes,9,3,yes,3,yes,1,No
Colt Mustang ,2,2,2,3,2,no,no,yes,380,3,yes,1,no,1,No
Glock 19 Gen 4,4,4,2,3,4,yes,no,no,9,2,yes,3,yes,3,Yes
Glock 26 Gen 4,4,4,2,2,4,yes,no,no,9,3,yes,3,yes,3,Yes
Glock 27,4,4,2,3,4,no,no,no,40,4,yes,2,yes,null,null
Glock 42,2,2,2,2,2,yes,no,no,380,2,yes,1,no,2,No
Glock 43,3,3,2,2,3,no,no,no,9,2,yes,2,yes,3,No
H&K VP9,3,3,2,3,3,yes,no,no,9,1,yes,3,yes,2,Yes
Kahr CM9 ,2,2,3,1,2,no,no,no,9,2,yes,2,no,4,No
Kahr CW 380,2,2,2,2,2,no,no,no,380,3,yes,1,no,4,No
Kahr CW9,2,2,2,2,2,no,no,no,9,2,yes,2,yes,4,No
Kahr P380,1,1,3,2,1,no,no,no,380,3,yes,1,no,3,No
Kahr PM9,2,2,2,4,2,no,no,no,9,3,yes,2,no,4,No
Kel Tec P11,1,1,3,2,1,yes,no,no,9,2,yes,2,no,4,No
Kel Tec P3AT ,1,1,2,2,1,yes,no,no,380,4,yes,1,no,4,No
Kel Tec PF 9 (we got this info),3,3,4,1,3,yes,no,no,9,3,yes,2,no,4,Yes
Kimber Micro 380,3,3,1,3,3,yes,yes,yes,380,2,yes,2,no,1,No
Kimber Micro 9,3,3,2,3,3,yes,yes,yes,9,2,yes,1,no,2,No
Kimber Solo Carry Stainless,2,2,2,4,2,yes,no,yes,9,2,yes,2,no,2,No
Kimber Ultra Carry,4,4,1,4,4,no,no,yes,9,1,yes,3,yes,3,No
Ruger EC9,2,2,2,1,2,no,no,yes,9,2,yes,2,no,2,No
Ruger LC 380,2,2,3,2,2,yes,no,yes,380,2,yes,1,no,2,No
Ruger LC9s,2,2,2,2,2,yes,no,yes,9,2,yes,2,no,2,No
Ruger LCP II,1,1,3,1,1,no,yes,no,380,3,yes,1,no,2,No
Ruger LCR,1,1,3,2,1,no,no,no,0.38,4,no,1,no,null,null
Ruger SP101,2,2,4,4,2,no,no,no,0.38,4,no,4,yes,null,null
Ruger SR22,2,2,1,2,2,no,no,yes,0.22,1,yes,2,no,1,Yes
Ruger SR9C,3,3,2,2,3,no,no,yes,9,3,yes,3,yes,4,Yes
S&W 340 Airlight,1,1,4,4,1,no,no,no,0.38,4,no,1,no,null,null
S&W 60 ,1,1,4,4,1,no,no,no,0.38,4,no,2,yes,null,null
S&W 60 Ladysmith,1,1,3,4,1,no,no,no,0.38,4,no,3,no,null,null
S&W 642,1,1,4,2,1,no,no,no,0.38,4,no,2,no,null,null
S&W 642 w/ Crimson Trace,1,1,4,3,1,no,no,no,0.38,4,no,2,no,null,null
S&W 642 w/ Ladysmith,1,1,4,2,1,no,no,no,0.38,4,no,2,no,null,null
S&W Bodyguard 380 w/laser,2,2,4,2,2,no,yes,yes,380,4,yes,1,no,3,No
S&W M&P 9 compact,3,3,2,3,3,yes,no,no,9,2,yes,3,yes,3,Yes
S&W M&P 9 Full size w/ Thumb Safety,3,3,2,2,3,yes,no,no,9,1,yes,4,yes,3,Yes
S&W Shield 9 w/safety,3,3,3,2,3,no,yes,yes,9,2,yes,3,yes,4,No
S&W Shield EZ,2,2,1,2,2,yes,yes,yes,380,1,yes,2,no,1,Yes
SCCY CPX1,3,3,3,1,3,no,no,yes,9,3,yes,2,no,3,No
SCCY CPX2,3,3,3,1,3,no,no,no,9,3,yes,2,no,3,No
Sig Sauer 1911 Carry Nightmare,4,4,1,5,4,no,no,yes,9,1,yes,4,yes,3,No
Sig Sauer 1911 Ultra,4,4,1,4,4,no,no,yes,9,1,yes,4,yes,3,No
Sig Sauer P238,2,2,1,3,2,no,no,yes,380,1,yes,2,no,1,No
Sig Sauer P320 Subcompact (medium grips),4,4,3,3,4,yes,no,no,9,2,yes,3,yes,4,Yes
Sig Sauer P365,2,2,2,2,2,yes,no,no,9,2,yes,2,yes,2,No
Sig Sauer P938,2,2,3,3,2,yes,no,yes,9,2,yes,2,no,2,No
Springfield 1911 Range Officer,4,4,1,4,4,no,no,yes,9,1,yes,4,yes,2,Yes
Springfield 911 .380,2,2,1,3,2,yes,yes,yes,380,1,yes,1,no,1,No
Springfield 911 9,2,2,2,3,2,null,yes,yes,9,1,yes,2,no,2,No
Springfield EMP 1911,4,4,2,3,4,yes,no,yes,9,1,yes,4,yes,3,No
"Springfield XD(M) 3.8"" 9m  Compact",3,3,1,3,3,yes,no,no,9,2,yes,4,yes,4,Yes
"Springfield XD(M) 4.5"" 45 Full size",3,3,1,3,3,yes,no,no,45,3,yes,4,yes,4,Yes
"Springfield XD(M) 4.5"" 9mm Full size",3,3,1,3,3,yes,no,no,9,2,yes,4,yes,4,Yes
Springfield XD(s) 3.3 45,2,2,3,2,2,yes,no,no,45,4,yes,3,yes,4,Yes
Springfield XD(s) 3.3 9mm,2,2,3,3,2,yes,no,no,9,3,yes,3,no,3,Yes
Walther CCP,3,3,2,2,3,yes,no,yes,9,2,yes,3,yes,2,Yes
Walther creed,3,3,2,2,3,yes,no,no,9,3,yes,4,yes,3,Yes
Walther P22,2,2,1,2,2,yes,no,yes,22,1,yes,2,no,1,Yes
Walther PK380,2,2,4,2,2,no,no,yes,380,4,yes,2,no,1,Yes
Walther PPQ M2,3,3,2,2,3,yes,no,no,9,1,yes,3,yes,3,Yes
Walther PPS,3,3,2,2,3,yes,no,no,9,2,yes,2,no,4,Yes
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FIND 22 REVOLVER,,,,,,,,,,,,,,,
Glock 43X,,,,,,,,,,,,,,,
S&W M&P 45,,,,,,,,,45,,yes,,,3,
Kimber Ultra Carry 45,,,,,,,,,45,,yes,,,3,
S&W M&P Shield 45,,,,,,,,,45,,yes,,,4,