GUN,MagazineRelease,TriggerLength,TriggerPull,MSRP,PalmWidth,LeftHanded,Laser,safety,caliber,GunWeightUnloaded,Semi,Recoil,HomeDefense ,SlideWeight,AccessoryRail,Image Links,gunID,Manufacturer,Price,FrameMaterial,ActionType,FinishOptions,Link
Question,"What is the length of your thumb,",What is your trigger finger Length,How would you rank your trigger finger strength,What will your budget allow for y,What is your palm length from the base,Are you Right handed or Left handed?,Do you require a gun with a laser?,Do you require a gun with an external thumb safety?,"At this time, do you require a specific caliber",How would you rate your upper body strength,"Do you have a reason you are not willing , or are not physically able to carry a gun on your body",How would you rate your hand strength,What will this gun be used for?,Slide Weight,Do you require a gun with an accessory rail,,,,,,,,
Beretta Nano,3,3,2,2,3,no,yes,no,9,2,yes,2,yes,3,yes,http://www.beretta.com/assets/0/15/DimGalleryLarge/nanorebluefarme_zoom001.png,1,Beretta,450,Polymer,Striker Fire,"Black, Pink, FDE",https://thewellarmedwoman.com/tag/BERETTA-NANO/
Beretta Pico,1,1,3,1,1,yes,no,no,380,4,yes,1,no,4,no,https://thewellarmedwoman.com/wp-content/uploads/2016/08/pico_0057.jpg,2,Beretta,400,Stainess Steel,Double Action Only,Black/Stainless,
Bersa Thunder 380 ,2,2,2,1,2,no,no,yes,380,3,yes,3,no,2,no,https://thewellarmedwoman.com/wp-content/uploads/2016/09/bersa-thunder-e1492052245233.jpg,3,Bersa,320,Polymer,Single Action/Double Action,"DuoTone, Matte Black, Satin Nickel",https://thewellarmedwoman.com/tag/bersa-thunder/
Charter Arms Pink Lady ,2,2,4,2,2,no,yes,no,0.38,4,no,1,no,null,null,https://cdn.shopify.com/s/files/1/0874/7670/products/53830_2_large.jpg?v=1561567010,4,Charter Arms,437,Alloy,Single Action/Double Action,Pink,https://thewellarmedwoman.com/tag/pink-lady/
Charter Arms Undercover Lite,2,2,4,2,2,yes,no,no,0.38,4,no,1,no,null,null,https://thewellarmedwoman.com/wp-content/uploads/2016/09/Pink-Lady-e1492052015593.jpg,5,Charter Arms,358,#N/A,#N/A,#N/A,
Colt Defender,4,4,2,3,4,no,no,yes,9,3,yes,3,yes,1,no,https://thewellarmedwoman.com/wp-content/uploads/2016/08/colt-defender.jpg,6,Colt,973,Aluminum,Single Action Only,Stainless,
Colt Mustang ,2,2,2,3,2,no,no,yes,380,3,yes,1,no,1,no,https://large.shootingsportsmedia.com/993113.jpg,7,Colt,599,Aluminum,Single action only,Stainless,
Glock 19 ,4,4,2,3,4,yes,no,no,9,2,yes,3,yes,3,yes,https://thewellarmedwoman.com/wp-content/uploads/2019/02/Glock-19_Gen4.png,8,Glock,499,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/glock-19/
Glock 26 ,4,4,2,2,4,yes,no,no,9,3,yes,3,yes,3,yes,https://thewellarmedwoman.com/wp-content/uploads/2016/09/glock-g26-e1530802771283.jpg,9,Glock,499,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/glock-26/
Glock 43X,3,3,2,2,3,no,no,no,9,2,yes,2,yes,3,no,https://www.glockstore.com/assets/images/products/Glock-43X-9mm_main-01.jpg?resizeid=9&resizeh=1000&resizew=1000,10,Glock,449,#N/A,#N/A,#N/A,
Glock 42,2,2,2,2,2,yes,no,no,380,2,yes,1,no,2,no,https://thewellarmedwoman.com/wp-content/uploads/2016/08/glock-42-.jpg,11,Glock,449,Polymer,Striker Fire,"black polymer frame, black steel slide",https://thewellarmedwoman.com/tag/glock-42/
Glock 43,3,3,2,2,3,no,no,no,9,2,yes,2,yes,3,no,https://thewellarmedwoman.com/wp-content/uploads/2016/07/glock43-.jpg,12,Glock,529,Polymer,Striker Fire,Black,https://thewellarmedwoman.com/tag/glock-43/
H&K VP9,3,3,2,3,3,yes,yes,no,9,1,yes,3,yes,2,yes,https://thewellarmedwoman.com/wp-content/uploads/2016/09/vp9-e1492053249318.jpg,13,H&K,629,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/H&K-vp9/
Kahr CM9 ,2,2,3,1,2,no,no,no,9,2,yes,2,no,4,no,https://cdn11.bigcommerce.com/s-kp97pt369w/images/stencil/1280x1280/products/2244/5125/SVimg-CM9093__49796.1515511800.jpg?c=2&imbypass=on,14,Kahr Arms,460,Polymer,Striker Fire,Black / Stainless,
Kahr CW 380,2,2,2,2,2,no,no,no,380,3,yes,1,no,4,no,https://www.budsgunshop.com/catalog/images/83990_3.jpg,15,Kahr Arms,419,Polymer,Striker Fire,Black / Stainless,
Kahr CW 9,2,2,2,2,2,no,no,no,9,2,yes,2,yes,4,no,https://cdn11.bigcommerce.com/s-kp97pt369w/images/stencil/1280x1280/products/2252/5160/SVimg-CW9093__40672.1515511808.jpg?c=2&imbypass=on,16,#N/A,#N/A,#N/A,#N/A,#N/A,
Kahr P380,1,1,3,2,1,no,no,no,380,3,yes,1,no,3,no,https://cdn11.bigcommerce.com/s-kp97pt369w/images/stencil/1280x1280/products/2262/5221/SVimg-KP3834N__60655.1515511822.jpg?c=2&imbypass=on,17,Kahr,667,Polymer,Double Action Only,black/stainless,
Kahr PM9,2,2,2,4,2,no,no,no,9,3,yes,2,no,4,no,https://thewellarmedwoman.com/wp-content/uploads/2016/07/kahr-pm9.jpg,18,Kahr Arms,810,Polymer,Striker Fire,black on black or black and stainless,
Kel Tec P11,1,1,3,2,1,yes,no,no,9,2,yes,2,no,4,no,https://www.budsgunshop.com/catalog/images/25990_1.jpg,19,Kel Tec,347,Aluminum,Double Action Only,blued/black,https://thewellarmedwoman.com/tag/kel-tec-p11/
Kel Tec P3AT ,1,1,2,2,1,yes,no,no,380,4,yes,1,no,4,no,https://www.budsgunshop.com/catalog/images/15229.jpg,20,Kel Tec,339,Aluminum,Double Action Only,black/black; black/stainless,
Kel Tec PF,3,3,4,1,3,yes,no,no,9,3,yes,2,no,4,yes,https://thewellarmedwoman.com/wp-content/uploads/2017/04/gun-revieww-keltec-pf9.jpg,21,Kel Tec,256,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/kel-tec-pf9/
Kimber Micro 380,3,3,1,3,3,yes,yes,yes,380,2,yes,2,no,1,no,https://www.sportsmansoutdoorsuperstore.com/prodimages/49741-DEFAULT-l.jpg,22,Kimber,569,#N/A,#N/A,#N/A,
Kimber Micro 9,3,3,2,3,3,yes,yes,yes,9,2,yes,1,no,2,no,https://thewellarmedwoman.com/wp-content/uploads/2019/04/Kimber-Micro-9-e1551111139287.jpg,23,Kimber,579,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/kimber-micro-9/
Kimber Ultra Carry,4,4,1,4,4,no,yes,yes,9,1,yes,3,yes,3,no,https://www.kimberamerica.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/l/ultracarryiitt_532x495_1.png,24,Kimber,919,Aluminum,Single Action Only,Blued,https://thewellarmedwoman.com/tag/kimber-ultra-carry/
Ruger EC9,2,2,2,1,2,no,no,yes,9,2,yes,2,no,2,no,https://ruger.com/products/ec9s/images/3283.jpg,25,Ruger,299,#N/A,#N/A,#N/A,
Ruger LC 380,2,2,3,2,2,yes,no,yes,380,2,yes,1,no,2,no,https://thewellarmedwoman.com/wp-content/uploads/2016/09/ruger-lc380-e1530805533799.jpg,26,Ruger,449,Polymer,Double Action Only,black/blued,https://thewellarmedwoman.com/tag/ruger-lc380/
Ruger LC9s,2,2,2,2,2,yes,no,yes,9,2,yes,2,no,2,no,https://thewellarmedwoman.com/wp-content/uploads/2016/09/ruger-lc9s-e1530802530600.jpg,27,Ruger,449,Polymer,Striker Fire,black/blued,https://thewellarmedwoman.com/tag/ruger-lc9s/
Ruger LCP II,1,1,3,1,1,no,yes,no,380,3,yes,1,no,2,no,https://thewellarmedwoman.com/wp-content/uploads/2017/04/gun-review-ruger-lcp-ii--e1530802303584.jpg,28,Ruger,349,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/ruger-lcp-ii/
Ruger LCR,1,1,3,2,1,no,no,no,0.38,4,no,1,no,null,null,https://thewellarmedwoman.com/wp-content/uploads/2016/09/ruger-lcr-special-e1492053615197.jpg,29,Ruger,545,Steel,Double Action Only,"Matte black synergistic hard coat, Ionbond diamondblack",
Ruger SP101,2,2,4,4,2,no,no,no,0.38,4,no,4,yes,null,null,https://thewellarmedwoman.com/wp-content/uploads/2016/09/ruger-sp101-e1492051930444.jpg,30,Ruger ,679,Stainless Steel,Double Action Only,Stainless,https://thewellarmedwoman.com/tag/ruger-sp101/
Ruger SR22,2,2,1,2,2,no,no,yes,0.22,1,yes,2,no,1,yes,https://thewellarmedwoman.com/wp-content/uploads/2016/07/ruger-sr22.jpg,31,Ruger,449,Polymer,Single Action/Double Action,"black anodize, silver anodize, black anodize, black anodize with threaded barrel",https://thewellarmedwoman.com/tag/ruger-sr22-1/
Ruger Security 9 Compact,3,3,2,3,3,no,no,yes,9,3,yes,3,yes,4,yes,https://thewellarmedwoman.com/wp-content/uploads/2018/01/ruger-security-9.jpg,32,Ruger,379,#N/A,#N/A,#N/A,
S&W 340 Airlight,1,1,4,4,1,no,yes,no,0.38,4,no,1,no,null,null,https://snwcdnprod.azureedge.net/sites/default/files/styles/product_main/public/firearms/images/163062_01_lg.jpg?itok=Zc2S_yqk,33,Smith and Wesson,1019,Scandium,Double Action Only,Blued,
S&W 60 ,1,1,4,4,1,no,no,no,0.38,4,no,2,yes,null,null,https://snwcdnprod.azureedge.net/sites/default/files/styles/product_main/public/firearms/images/162420_01_lg.jpg?itok=k4DvNUfh,34,Smith and Wesson,729,Stainless Steel,Single Action/Double Action,Matte Stainless,
S&W 60 Ladysmith,1,1,3,4,1,no,no,no,0.38,4,no,3,no,null,null,https://snwcdnprod.azureedge.net/sites/default/files/styles/product_main/public/firearms/images/162414_01_lg.jpg?itok=oopdTSRs,35,Smith and Wesson,749,Stainless Steel,Single Action/Double Action,Stainless,https://thewellarmedwoman.com/tag/smith-and-wesson-60/
S&W 642,1,1,4,2,1,no,yes,no,0.38,4,no,2,no,null,null,https://snwcdnprod.azureedge.net/sites/default/files/styles/product_main/public/firearms/images/163810_01_lg_0.jpg?itok=_pEWgsGu,36,Smith and Wesson,469,Aluminum Alloy,Double Action Only,Stainless,https://thewellarmedwoman.com/tag/smith-and-wesson-642/
S&W Bodyguard 380,2,2,4,2,2,no,yes,yes,380,4,yes,1,no,3,no,https://thewellarmedwoman.com/wp-content/uploads/2016/08/2sw-bodyguard-380.jpg,37,Smith and Wesson,349,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/Smith-and-wesson-bodyguard-380/
S&W M&P 9 compact,3,3,2,3,3,yes,yes,no,9,2,yes,3,yes,3,yes,https://snwcdnprod.azureedge.net/sites/default/files/styles/product_main/public/firearms/images/209304_01_lg_2.jpg?itok=BRcuVl86,38,Smith and Wesson,569,Polymer,Striker Fire,Black,https://thewellarmedwoman.com/tag/Smith-and-wesson-M&P/
S&W M&P 9 Full size,3,3,2,2,3,yes,no,yes,9,1,yes,4,yes,3,yes,https://www.sportsmansoutdoorsuperstore.com/prodimages/26309-DEFAULT-l.jpg,39,Smith and Wesson,549,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/Smith-and-wesson-M&P/
S&W Shield 9,3,3,3,2,3,yes,yes,yes,9,2,yes,3,yes,4,no,https://thewellarmedwoman.com/wp-content/uploads/2017/05/SW-MP-Shield-e1556564906493.jpg,40,Smith and Wesson,379,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/Smith-and-wesson-M&P-shield/
S&W Shield EZ,2,2,1,2,2,yes,yes,yes,380,1,yes,2,no,1,yes,https://thewellarmedwoman.com/wp-content/uploads/2018/02/ShieldEZ-e1530803908930.jpg,41,Smith and Wesson,350,#N/A,#N/A,#N/A,
SCCY CPX1,3,3,3,1,3,no,no,yes,9,3,yes,2,no,3,no,https://www.sccy.com/wp-content/uploads/2017/05/SCCY-Products-CPX-1-BB-3Q-1.jpg,42,Sccy Industries,334,Polymer,Double Action Only,Black,
SCCY CPX2,3,3,3,1,3,no,no,no,9,3,yes,2,no,3,no,https://www.sccy.com/wp-content/uploads/2016/02/CPX-2_BS_3Q-web.jpg,43,Sccy Industries,314,Polymer,Double Action Only,Black,
Sig Sauer 1911 Carry Nightmare,4,4,1,5,4,no,no,yes,9,1,yes,4,yes,3,no,https://www.sigsauer.com/store/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/1/9/1911fca-45-nmr.jpg,44,Sig Sauer,1244,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/sig-1911/
Sig Sauer 1911 Ultra,4,4,1,4,4,no,no,yes,9,1,yes,4,yes,3,no,https://www.sigsauer.com/store/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/1/9/1911_ultra_twotone_l_sm-f.jpg,45,Sig Sauer,1221,#N/A,#N/A,#N/A,
Sig Sauer P238,2,2,1,3,2,no,no,yes,380,1,yes,2,no,1,no,https://thewellarmedwoman.com/wp-content/uploads/2016/09/p238-1-e1492053754897.jpg,46,Sig Sauer,499,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/sig-p238/
Sig Sauer P320 Subcompact,4,4,3,3,4,yes,no,no,9,2,yes,3,yes,4,yes,https://www.sigsauer.com/store/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/3/2/320-xcompact-left-web.jpg,47,Sig Sauer,529,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/sig-p320/
Sig Sauer P365,2,2,2,2,2,yes,no,no,9,2,yes,2,yes,2,no,https://thewellarmedwoman.com/wp-content/uploads/2019/02/365-product-on-white-7_1_1.jpg,48,Sig Sauer,599,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/sig-p365/
Sig Sauer P938,2,2,3,3,2,yes,no,yes,9,2,yes,2,no,2,no,https://thewellarmedwoman.com/wp-content/uploads/2016/07/sig-p938-e1530803026448.jpg,49,Sig Sauer,799,Alloy,Single Action Only,"Black, Stainess, Two-Toned",https://thewellarmedwoman.com/tag/sig-p938/
Springfield 1911 Range Officer,4,4,1,4,4,no,no,yes,9,1,yes,4,yes,2,yes,https://www.springfield-armory.com/wp-content/uploads/2014/03/PI9129LP_1200x782.png,50,Springfield Armory,720,Alloy,Single Action Only,Blued,
Springfield 911 .380,2,2,1,3,2,yes,yes,yes,380,1,yes,1,no,1,no,https://thewellarmedwoman.com/wp-content/uploads/2019/02/Springfield-911-380.jpg,51,Springfield Armory,629,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/springfield-911-380/
Springfield 911 9,2,2,2,3,2,null,yes,yes,9,1,yes,2,no,2,no,https://www.springfield-armory.com/wp-content/uploads/2019/01/PG9119-WEB-Featured-1.png,52,Springfield Armory,659,#N/A,#N/A,#N/A,
Springfield EMP 1911,4,4,2,3,4,yes,no,yes,9,1,yes,4,yes,3,no,https://www.springfield-armory.com/wp-content/uploads/2014/03/PI9209LP_1200x7821.png,53,Springfield Armory,1199,Alloy,Single Action Only,Two-Toned,
"Springfield XD(M) 3.8""  Compact",3,3,1,3,3,yes,no,no,9,2,yes,4,yes,4,yes,https://www.springfield-armory.com/wp-content/uploads/2014/03/XDM9389CBHCE.png,54,#N/A,649,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/springfield-XDM/
"Springfield XD(M) 4.5"" Full size",3,3,1,3,3,yes,no,no,45,3,yes,4,yes,4,yes,https://www.springfield-armory.com/wp-content/uploads/2014/03/XDM94545BHCE.png,55,Springfield Armory,599,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/springfield-XDM/
"Springfield XD(M) 4.5"" Full size",3,3,1,3,3,yes,no,no,9,2,yes,4,yes,4,yes,https://www.springfield-armory.com/wp-content/uploads/2014/03/XDM9201HCE.png,56,Springfield Armory,499,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/springfield-XDM/
Springfield XD(s) 3.3,2,2,3,2,2,yes,no,no,45,4,yes,3,yes,4,yes,https://www.springfield-armory.com/wp-content/uploads/2014/02/XDSG93345B-Featured.png,57,#N/A,#N/A,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/springfield-XDS/
Springfield XD(s) 3.3 9mm,2,2,3,3,2,yes,no,no,9,3,yes,3,no,3,yes,https://www.springfield-armory.com/wp-content/uploads/2014/03/XDS9339B_1200x7821.png,58,Springfield Armory,599,Polymer,Striker Fire,"Black, Black / Stainless",https://thewellarmedwoman.com/tag/springfield-XDS/
Walther CCP,3,3,2,2,3,no,no,yes,9,2,yes,3,yes,2,yes,https://thewellarmedwoman.com/wp-content/uploads/2018/11/walther-ccp-m2.jpg,59,Walther,489,Polymer,Striker Fire,"stainless, Cerakote black",https://thewellarmedwoman.com/tag/walther-ccp/
Walther creed,3,3,2,2,3,no,no,no,9,3,yes,4,yes,3,yes,https://www.range365.com/resizer/KPSiOeJTVaZpEpz6Fa24AxotE68=/2804x1262/arc-anglerfish-arc2-prod-bonnier.s3.amazonaws.com/public/AM7VRUMH2KIGANVQXLYC3ZOVZI.png,60,Walther,699,#N/A,#N/A,#N/A,
Walther P22,2,2,1,2,2,yes,no,yes,22,1,yes,2,no,1,yes,https://f8x7p3b6.ssl.hwcdn.net/wp-content/uploads/2019/05/Walther_P22_Black_LSL.png,61,Walther,319,Steel,Single Action/Double Action,black or nickel,
Walther PK380,2,2,4,2,2,yes,no,yes,380,4,yes,2,no,1,yes,https://thewellarmedwoman.com/wp-content/uploads/2018/08/Walther_PK380.jpg,62,Walther,419,Steel,Single Action/Double Action,"Black, Nickel",https://thewellarmedwoman.com/tag/walther-pk380/
Walther PPQ M2,3,3,2,2,3,no,no,no,9,1,yes,3,yes,3,yes,https://thewellarmedwoman.com/wp-content/uploads/2016/09/ppq-e1492054592575.jpg,63,Walther,459,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/walther-ppq/
Walther PPS,3,3,2,2,3,no,no,no,9,2,yes,2,no,4,yes,https://thewellarmedwoman.com/wp-content/uploads/2016/09/pps-e1530808452208.jpg,64,Walther,662,Polymer,Striker Fire,Black,https://thewellarmedwoman.com/tag/walther-pps/
Ruger LCR .22,2,2,2,2,,no,no,no,22,2,no,1,no,null,no,https://thewellarmedwoman.com/wp-content/uploads/2016/07/gun-review-lcr-22-nancy.jpg,65,Ruger,579,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/ruger-lcr/
S&W M&P 45,3,3,3,2,,no,yes,yes,45,2,yes,4,yes,3,no,https://snwcdnprod.azureedge.net/sites/default/files/styles/product_main/public/firearms/images/109306_01_lg_2.jpg?itok=1IDBLRx2,66,Smith and Wesson,359,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/Smith-and-wesson-M&P/
Kimber Ultra Carry 45,4,4,1,4,4,no,no,yes,45,1,yes,3,yes,4,no,https://www.kimberamerica.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/l/ultracarryiitt_532x495_1.png,67,Kimber,673,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/kimber-ultra-carry/
S&W M&P Shield 45,3,3,3,2,,no,no,yes,45,2,yes,3,yes,4,no,https://snwcdnprod.azureedge.net/sites/default/files/styles/product_main/public/firearms/images/180022_01_lg_10.jpg?itok=j874YMsD,68,Smith and Wesson,379,#N/A,#N/A,#N/A,https://thewellarmedwoman.com/tag/Smith-and-wesson-M&P-shield/
S&W M&P 22 Compact,2,3,1,2,,Yes,No,Yes,22,1,Yes,1,No,1,Yes,https://thewellarmedwoman.com/wp-content/uploads/2017/03/gun-review-smith-wesson-MP22-compact.jpg,69,Smith and Wesson,360,#N/A,#N/A,#N/A,